food_code,display_name,source_food_name,food_group,food_role,diet_class,vegan_ok,vegetarian_ok,eggetarian_ok,nonveg_ok,contains_dairy,contains_egg,contains_meat,contains_fish,breakfast_ok,lunch_ok,snack_ok,dinner_ok,ingredient_only,energy_kcal,protein_g,carbohydrate_g,fat_g,fiber_g,protein_per_100kcal,protein_level,carbohydrate_status,fiber_status,regions,source_page,nutrition_source,is_active
A015,"Rice, raw, milled","Rice, raw, milled (Oryza sativa )",grain,carb_source,vegan,True,True,True,True,False,False,False,False,True,True,False,True,False,356.4,7.94,78.24,0.52,2.81,2.23,low,ifct_reported,ifct_reported,6,41,IFCT 2017,True
A019,"Wheat flour, atta","Wheat flour, atta (Triticum aestivum)",grain,carb_source,vegan,True,True,True,True,False,False,False,False,True,True,False,True,False,320.3,10.57,64.17,1.53,11.36,3.3,low,ifct_reported,ifct_reported,6,42,IFCT 2017,True
A020,"Wheat, whole","Wheat, whole (Triticum aestivum)",grain,carb_source,vegan,True,True,True,True,False,False,False,False,True,True,False,True,False,321.9,10.59,64.72,1.47,11.23,3.29,low,ifct_reported,ifct_reported,6,42,IFCT 2017,True
A022,"Wheat, semolina","Wheat, semolina (Triticum aestivum)",grain,carb_source,vegan,True,True,True,True,False,False,False,False,True,True,False,True,False,333.7,11.38,68.43,0.74,9.72,3.41,low,ifct_reported,ifct_reported,6,42,IFCT 2017,True
B001,"Bengal gram, dal","Bengal gram, dal (Cicer arietinum)",legume,plant_protein,vegan,True,True,True,True,False,False,False,False,True,True,True,True,False,329.1,21.55,46.72,5.31,15.15,6.55,moderate,ifct_reported,ifct_reported,6,42,IFCT 2017,True
B002,"Bengal gram, whole","Bengal gram, whole (Cicer arietinum)",legume,plant_protein,vegan,True,True,True,True,False,False,False,False,True,True,True,True,False,287.0,18.77,39.56,5.11,25.22,6.54,moderate,ifct_reported,ifct_reported,6,42,IFCT 2017,True
B003,"Black gram, dal","Black gram, dal (Phaseolus mungo)",legume,plant_protein,vegan,True,True,True,True,False,False,False,False,True,True,True,True,False,324.1,23.06,51.0,1.69,11.93,7.12,moderate,ifct_reported,ifct_reported,6,42,IFCT 2017,True
B004,"Black gram, whole","Black gram, whole (Phaseolus mungo)",legume,plant_protein,vegan,True,True,True,True,False,False,False,False,True,True,True,True,False,291.3,21.97,43.99,1.58,20.41,7.54,moderate,ifct_reported,ifct_reported,6,42,IFCT 2017,True
B005,"Cowpea, brown","Cowpea, brown (Vigna catjang)",legume,plant_protein,vegan,True,True,True,True,False,False,False,False,True,True,True,True,False,320.3,20.36,54.62,1.15,11.54,6.36,moderate,ifct_reported,ifct_reported,6,42,IFCT 2017,True
B010,"Green gram, dal ( a)Vigna radiat","Green gram, dal ( a)Vigna radiat",legume,plant_protein,vegan,True,True,True,True,False,False,False,False,True,True,True,True,False,325.8,23.88,52.59,1.35,9.37,7.33,moderate,ifct_reported,ifct_reported,6,42,IFCT 2017,True
B011,"Green gram, whole","Green gram, whole (Vigna radiata)",legume,plant_protein,vegan,True,True,True,True,False,False,False,False,True,True,True,True,False,293.7,22.53,46.13,1.14,17.04,7.67,moderate,ifct_reported,ifct_reported,6,42,IFCT 2017,True
B012,"Horse gram, whole","Horse gram, whole (Dolichos biflorus)",legume,plant_protein,vegan,True,True,True,True,False,False,False,False,True,True,True,True,False,329.6,21.73,57.24,0.62,7.88,6.59,moderate,ifct_reported,ifct_reported,6,42,IFCT 2017,True
B013,Lentil dal,Lentil dal (Lens culinaris),legume,plant_protein,vegan,True,True,True,True,False,False,False,False,True,True,True,True,False,322.4,24.35,52.53,0.75,10.43,7.55,moderate,ifct_reported,ifct_reported,6,42,IFCT 2017,True
B014,"Lentil whole, brown","Lentil whole, brown (Lens culinaris)",legume,plant_protein,vegan,True,True,True,True,False,False,False,False,True,True,True,True,False,299.0,22.49,48.47,0.64,16.82,7.52,moderate,ifct_reported,ifct_reported,6,43,IFCT 2017,True
B017,"Peas, dry","Peas, dry (Pisum sativum)",legume,plant_protein,vegan,True,True,True,True,False,False,False,False,True,True,True,True,False,303.3,20.43,48.93,1.89,17.01,6.74,moderate,ifct_reported,ifct_reported,6,43,IFCT 2017,True
B020,"Rajmah, red","Rajmah, red (Phaseolus vulgaris)",legume,plant_protein,vegan,True,True,True,True,False,False,False,False,True,True,True,True,False,299.2,19.91,48.61,1.77,16.57,6.65,moderate,ifct_reported,ifct_reported,3,43,IFCT 2017,True
B021,"Red gram, dal","Red gram, dal (Cajanus cajan)",legume,plant_protein,vegan,True,True,True,True,False,False,False,False,True,True,True,True,False,330.8,21.7,55.23,1.56,9.06,6.56,moderate,ifct_reported,ifct_reported,6,43,IFCT 2017,True
B025,"Soybean, white","Soybean, white (Glycine max)",legume,plant_protein,vegan,True,True,True,True,False,False,False,False,True,True,True,True,False,377.4,37.8,10.16,19.42,22.63,10.02,high,ifct_reported,ifct_reported,1,43,IFCT 2017,True
C002,"Amaranth leaves, green","Amaranth leaves, green (Amaranthus gangeticus)",leafy_vegetable,vegetable,vegan,True,True,True,True,False,False,False,False,False,True,False,True,False,30.6,3.29,2.28,0.65,4.41,10.75,high,ifct_reported,ifct_reported,6,43,IFCT 2017,True
C015,"Cabbage, green","Cabbage, green (Brassica oleracea var. capitata f. alba)",leafy_vegetable,vegetable,vegan,True,True,True,True,False,False,False,False,False,True,False,True,False,21.5,1.36,3.25,0.12,2.76,6.33,moderate,ifct_reported,ifct_reported,6,44,IFCT 2017,True
C019,Drumstick leaves,Drumstick leaves (Moringa oleifera),leafy_vegetable,vegetable,vegan,True,True,True,True,False,False,False,False,False,True,False,True,False,67.4,6.41,5.62,1.64,8.21,9.51,moderate,ifct_reported,ifct_reported,3,44,IFCT 2017,True
C020,Fenugreek leaves,Fenugreek leaves (Trigonella foenum graecum),leafy_vegetable,vegetable,vegan,True,True,True,True,False,False,False,False,False,True,False,True,False,34.4,3.68,2.17,0.83,4.9,10.7,high,ifct_reported,ifct_reported,5,44,IFCT 2017,True
C025,Lettuce,Lettuce (Lactuca sativa),leafy_vegetable,vegetable,vegan,True,True,True,True,False,False,False,False,False,True,False,True,False,21.7,1.54,3.01,0.27,1.79,7.1,moderate,ifct_reported,ifct_reported,3,44,IFCT 2017,True
C026,Mustard leaves,Mustard leaves (Brassica juncea),leafy_vegetable,vegetable,vegan,True,True,True,True,False,False,False,False,False,True,False,True,False,30.4,3.52,2.41,0.51,3.92,11.58,high,ifct_reported,ifct_reported,3,44,IFCT 2017,True
C033,Spinach,Spinach (Spinacia oleracea),leafy_vegetable,vegetable,vegan,True,True,True,True,False,False,False,False,False,True,False,True,False,24.4,2.14,2.05,0.64,2.38,8.77,moderate,ifct_reported,ifct_reported,6,45,IFCT 2017,True
D004,"Bitter gourd, jagged, teeth ridges, elongate","Bitter gourd, jagged, teeth ridges, elongate (Momordica charantia)",vegetable,vegetable,vegan,True,True,True,True,False,False,False,False,False,True,False,True,False,20.8,1.44,2.82,0.24,3.78,6.92,moderate,ifct_reported,ifct_reported,6,45,IFCT 2017,True
D007,"Bottle gourd, elongate, pale green","Bottle gourd, elongate, pale green (Lagenaria vulgaris)",vegetable,vegetable,vegan,True,True,True,True,False,False,False,False,False,True,False,True,False,11.0,0.53,1.68,0.13,2.12,4.82,low,ifct_reported,ifct_reported,6,45,IFCT 2017,True
D031,Brinjal - all varieties,Brinjal - all varieties (Solanum melongena),vegetable,vegetable,vegan,True,True,True,True,False,False,False,False,False,True,False,True,False,25.3,1.48,3.52,0.32,3.98,5.85,moderate,ifct_reported,ifct_reported,6,46,IFCT 2017,True
D033,"Capsicum, green","Capsicum, green (Capsicum annuum)",vegetable,vegetable,vegan,True,True,True,True,False,False,False,False,False,True,False,True,False,16.3,1.11,1.84,0.34,2.06,6.81,moderate,ifct_reported,ifct_reported,6,46,IFCT 2017,True
D036,Cauliflower,Cauliflower (Brassica oleracea var. botrytis),vegetable,vegetable,vegan,True,True,True,True,False,False,False,False,False,True,False,True,False,22.9,2.15,2.03,0.44,3.71,9.39,moderate,ifct_reported,ifct_reported,6,47,IFCT 2017,True
D043,"Cucumber, green, elongate","Cucumber, green, elongate (Cucumis sativus)",vegetable,vegetable,vegan,True,True,True,True,False,False,False,False,False,True,False,True,False,19.6,0.71,3.48,0.16,2.14,3.62,low,ifct_reported,ifct_reported,6,47,IFCT 2017,True
D046,Drumstick,Drumstick (Moringa oleifera),vegetable,vegetable,vegan,True,True,True,True,False,False,False,False,False,True,False,True,False,29.4,2.62,3.76,0.12,6.83,8.91,moderate,ifct_reported,ifct_reported,6,47,IFCT 2017,True
D049,"French beans, country","French beans, country (Phaseolus vulgaris)",vegetable,vegetable,vegan,True,True,True,True,False,False,False,False,False,True,False,True,False,24.4,2.49,2.68,0.26,4.38,10.2,high,ifct_reported,ifct_reported,5,47,IFCT 2017,True
D056,Ladies finger,Ladies finger (Abelmoschus esculentus),vegetable,vegetable,vegan,True,True,True,True,False,False,False,False,False,True,False,True,False,27.5,2.08,3.62,0.22,4.08,7.56,moderate,ifct_reported,ifct_reported,6,48,IFCT 2017,True
D061,"Peas, fresh","Peas, fresh (Pisum sativum)",vegetable,vegetable,vegan,True,True,True,True,False,False,False,False,False,True,False,True,False,81.3,7.25,11.88,0.13,6.32,8.92,moderate,ifct_reported,ifct_reported,6,48,IFCT 2017,True
D066,"Pumpkin, orange, round","Pumpkin, orange, round (Cucurbita maxima)",vegetable,vegetable,vegan,True,True,True,True,False,False,False,False,False,True,False,True,False,23.2,0.84,4.0,0.16,2.56,3.62,low,ifct_reported,ifct_reported,6,48,IFCT 2017,True
D076,"Tomato, ripe, local","Tomato, ripe, local (Lycopersicon esculentum)",vegetable,vegetable,vegan,True,True,True,True,False,False,False,False,False,True,False,True,False,19.6,0.9,2.71,0.47,1.77,4.59,low,ifct_reported,ifct_reported,6,49,IFCT 2017,True
E001,"Apple, big","Apple, big (Malus domestica)",fruit,fruit,vegan,True,True,True,True,False,False,False,False,True,False,True,False,False,62.4,0.29,13.11,0.64,2.59,0.46,low,ifct_reported,ifct_reported,6,49,IFCT 2017,True
E012,"Banana, ripe, robusta","Banana, ripe, robusta (Musa x paradisiaca)",fruit,fruit,vegan,True,True,True,True,False,False,False,False,True,False,True,False,False,105.2,1.23,23.63,0.33,1.94,1.17,low,ifct_reported,ifct_reported,6,49,IFCT 2017,True
E021,Gooseberry,Gooseberry (Emblica officinalis),fruit,fruit,vegan,True,True,True,True,False,False,False,False,True,False,True,False,False,23.7,0.34,4.39,0.16,7.75,1.43,low,ifct_reported,ifct_reported,5,50,IFCT 2017,True
E028,"Guava, white flesh","Guava, white flesh (Psidium guajava)",fruit,fruit,vegan,True,True,True,True,False,False,False,False,True,False,True,False,False,32.3,1.44,5.13,0.32,8.59,4.46,low,ifct_reported,ifct_reported,5,50,IFCT 2017,True
E033,"Lemon, juice","Lemon, juice (Citrus limon)",fruit,fruit,vegan,True,True,True,True,False,False,False,False,True,False,True,False,False,36.6,0.41,6.97,0.75,,1.12,low,ifct_reported,not_reported,6,50,IFCT 2017,True
E039,"Mango, ripe, kesar","Mango, ripe, kesar (Mangifera indica)",fruit,fruit,vegan,True,True,True,True,False,False,False,False,True,False,True,False,False,55.2,0.54,11.36,0.57,2.02,0.98,low,ifct_reported,ifct_reported,4,51,IFCT 2017,True
E047,"Orange, pulp","Orange, pulp (Citrus aurantium)",fruit,fruit,vegan,True,True,True,True,False,False,False,False,True,False,True,False,False,37.3,0.7,7.92,0.13,1.29,1.88,low,ifct_reported,ifct_reported,6,51,IFCT 2017,True
E049,"Papaya, ripe","Papaya, ripe (Carica papaya)",fruit,fruit,vegan,True,True,True,True,False,False,False,False,True,False,True,False,False,23.9,0.42,4.61,0.16,2.83,1.76,low,ifct_reported,ifct_reported,6,51,IFCT 2017,True
E055,"Pomegranate, maroon seeds","Pomegranate, maroon seeds (Punica granatum)",fruit,fruit,vegan,True,True,True,True,False,False,False,False,True,False,True,False,False,54.7,1.33,11.58,0.15,2.83,2.43,low,ifct_reported,ifct_reported,6,51,IFCT 2017,True
E065,"Water melon, dark green (sugar baby)","Water melon, dark green (sugar baby) (Citrullus vulgaris)",fruit,fruit,vegan,True,True,True,True,False,False,False,False,True,False,True,False,False,20.3,0.6,3.86,0.16,0.7,2.96,low,ifct_reported,ifct_reported,6,52,IFCT 2017,True
F001,Beet root,Beet root (Beta vulgaris),root_tuber,carb_vegetable,vegan,True,True,True,True,False,False,False,False,False,True,False,True,False,35.6,1.95,6.18,0.14,3.31,5.48,moderate,ifct_reported,ifct_reported,6,52,IFCT 2017,True
F002,"Carrot, orange","Carrot, orange (Daucus carota)",root_tuber,carb_vegetable,vegan,True,True,True,True,False,False,False,False,False,True,False,True,False,33.2,0.95,5.55,0.47,4.18,2.86,low,ifct_reported,ifct_reported,6,52,IFCT 2017,True
F006,"Potato, brown skin, big","Potato, brown skin, big (Solanum tuberosum)",root_tuber,carb_vegetable,vegan,True,True,True,True,False,False,False,False,False,True,False,True,False,69.8,1.54,14.89,0.23,1.71,2.21,low,ifct_reported,ifct_reported,6,52,IFCT 2017,True
F010,"Radish, elongate, white skin","Radish, elongate, white skin (Raphanus sativus)",root_tuber,carb_vegetable,vegan,True,True,True,True,False,False,False,False,False,True,False,True,False,32.3,0.77,6.56,0.15,2.65,2.38,low,ifct_reported,ifct_reported,6,53,IFCT 2017,True
F013,"Sweet potato, brown skin","Sweet potato, brown skin (Ipomoea batatas)",root_tuber,carb_vegetable,vegan,True,True,True,True,False,False,False,False,False,True,False,True,False,109.0,1.33,24.25,0.26,3.99,1.22,low,ifct_reported,ifct_reported,4,53,IFCT 2017,True
F017,"Yam, elephant","Yam, elephant (Amorphophallus campanulatus)",root_tuber,carb_vegetable,vegan,True,True,True,True,False,False,False,False,False,True,False,True,False,84.4,2.56,17.46,0.14,4.17,3.03,low,ifct_reported,ifct_reported,6,53,IFCT 2017,True
G011,"Garlic, big clove","Garlic, big clove (Allium sativum)",recipe_ingredient,ingredient,vegan,True,True,True,True,False,False,False,False,False,False,False,False,True,123.8,6.92,21.93,0.16,5.22,5.59,moderate,ifct_reported,ifct_reported,6,54,IFCT 2017,True
G014,"Ginger, fresh","Ginger, fresh (Zingiber officinale)",recipe_ingredient,ingredient,vegan,True,True,True,True,False,False,False,False,False,False,False,False,True,55.0,2.22,8.97,0.85,5.36,4.04,low,ifct_reported,ifct_reported,6,54,IFCT 2017,True
G017,"Onion, big","Onion, big (Allium cepa)",recipe_ingredient,ingredient,vegan,True,True,True,True,False,False,False,False,False,False,False,False,True,48.0,1.5,9.56,0.24,2.45,3.12,low,ifct_reported,ifct_reported,6,54,IFCT 2017,True
H001,Almond,Almond (Prunus amygdalus),nuts_seeds,protein_healthy_fat,vegan,True,True,True,True,False,False,False,False,True,False,True,False,False,609.2,18.41,3.04,58.49,13.06,3.02,low,ifct_reported,ifct_reported,6,55,IFCT 2017,True
H005,Cashew nut,Cashew nut (Anacardium occidentale),nuts_seeds,protein_healthy_fat,vegan,True,True,True,True,False,False,False,False,True,False,True,False,False,582.7,18.78,25.46,45.2,3.86,3.22,low,ifct_reported,ifct_reported,6,55,IFCT 2017,True
H007,"Coconut, kernel, fresh","Coconut, kernel, fresh (Cocos nucifera)",nuts_seeds,protein_healthy_fat,vegan,True,True,True,True,False,False,False,False,True,False,True,False,False,408.9,3.84,6.3,41.38,10.42,0.94,low,ifct_reported,ifct_reported,6,55,IFCT 2017,True
H008,"Garden cress, seeds","Garden cress, seeds (Lepidium sativum)",nuts_seeds,protein_healthy_fat,vegan,True,True,True,True,False,False,False,False,True,False,True,False,False,445.3,23.36,33.66,23.74,8.27,5.25,moderate,ifct_reported,ifct_reported,5,55,IFCT 2017,True
H011,"Gingelly seeds, white","Gingelly seeds, white (Sesamum indicum)",nuts_seeds,protein_healthy_fat,vegan,True,True,True,True,False,False,False,False,True,False,True,False,False,519.6,21.7,10.83,43.05,16.99,4.18,low,ifct_reported,ifct_reported,5,55,IFCT 2017,True
H012,Ground nut,Ground nut (Arachis hypogaea),nuts_seeds,protein_healthy_fat,vegan,True,True,True,True,False,False,False,False,True,False,True,False,False,520.1,23.65,17.27,39.63,10.38,4.55,low,ifct_reported,ifct_reported,6,55,IFCT 2017,True
H014,Linseeds,Linseeds (Linum usitatissimum),nuts_seeds,protein_healthy_fat,vegan,True,True,True,True,False,False,False,False,True,False,True,False,False,443.8,18.55,10.99,35.67,26.17,4.18,low,ifct_reported,ifct_reported,6,55,IFCT 2017,True
H018,Pistachio nuts,Pistachio nuts (Pistacia vera),nuts_seeds,protein_healthy_fat,vegan,True,True,True,True,False,False,False,False,True,False,True,False,False,539.4,23.35,15.82,42.49,10.64,4.33,low,ifct_reported,ifct_reported,6,56,IFCT 2017,True
H021,Walnut,Walnut (Juglans regia),nuts_seeds,protein_healthy_fat,vegan,True,True,True,True,False,False,False,False,True,False,True,False,False,671.4,14.92,10.14,64.27,5.39,2.22,low,ifct_reported,ifct_reported,6,56,IFCT 2017,True
J001,"Button mushroom, fresh","Button mushroom, fresh (Agaricus sp.)",mushroom,vegetable,vegan,True,True,True,True,False,False,False,False,False,True,False,True,False,27.5,3.68,1.98,0.42,3.11,13.38,high,ifct_reported,ifct_reported,1,56,IFCT 2017,True
K002,Coconut Water,Coconut Water (Cocos nucifera),beverage,beverage,vegan,True,True,True,True,False,False,False,False,True,False,True,False,False,15.3,0.26,3.16,0.16,,1.7,low,ifct_reported,not_reported,6,56,IFCT 2017,True
L001,"Milk, whole, Buffalo","Milk, whole, Buffalo",dairy,dairy_protein,vegetarian,False,True,True,True,True,False,False,False,True,True,True,True,False,107.3,3.68,8.39,6.58,,3.43,low,ifct_reported,not_reported,6,57,IFCT 2017,True
L002,"Milk, whole, Cow","Milk, whole, Cow",dairy,dairy_protein,vegetarian,False,True,True,True,True,False,False,False,True,True,True,True,False,72.9,3.26,4.94,4.48,,4.47,low,ifct_reported,not_reported,6,57,IFCT 2017,True
L003,Paneer,Paneer,dairy,dairy_protein,vegetarian,False,True,True,True,True,False,False,False,True,True,True,True,False,305.4,18.86,2.41,24.78,,6.18,moderate,ifct_reported,not_reported,6,57,IFCT 2017,True
M004,"Egg, poultry, whole, boiled","Egg, poultry, whole, boiled",egg,egg_protein,eggetarian,False,False,True,True,False,True,False,False,True,True,True,True,False,147.7,13.43,,10.54,,9.09,moderate,not_reported,not_reported,6,58,IFCT 2017,True
M005,"Egg, poultry, white, boiled","Egg, poultry, white, boiled",egg,egg_protein,eggetarian,False,False,True,True,False,True,False,False,True,True,True,True,False,52.6,12.37,,0.26,,23.52,high,not_reported,not_reported,6,58,IFCT 2017,True
M007,"Egg, poultry, omlet","Egg, poultry, omlet",egg,egg_protein,eggetarian,False,False,True,True,False,True,False,False,True,True,True,True,False,169.7,16.53,,11.6,,9.74,moderate,not_reported,not_reported,3,58,IFCT 2017,True
N002,"Chicken, poultry, thigh, skinless","Chicken, poultry, thigh, skinless",poultry,animal_protein,non_vegetarian,False,False,False,True,False,False,True,False,False,True,False,True,False,199.8,18.18,,14.23,,9.1,moderate,not_reported,not_reported,6,58,IFCT 2017,True
N003,"Chicken, poultry, breast, skinless","Chicken, poultry, breast, skinless",poultry,animal_protein,non_vegetarian,False,False,False,True,False,False,True,False,False,True,False,True,False,168.3,21.81,,9.0,,12.96,high,not_reported,not_reported,5,58,IFCT 2017,True
N005,"Poultry, chicken, liver","Poultry, chicken, liver",poultry,animal_protein,non_vegetarian,False,False,False,True,False,False,True,False,False,True,False,True,False,123.8,21.57,,4.08,,17.42,high,not_reported,not_reported,1,59,IFCT 2017,True
N006,"Poultry, chicken, gizzard","Poultry, chicken, gizzard",poultry,animal_protein,non_vegetarian,False,False,False,True,False,False,True,False,False,True,False,True,False,92.3,18.22,,2.07,,19.74,high,not_reported,not_reported,1,59,IFCT 2017,True
O003,"Goat, legs","Goat, legs",meat,animal_protein,non_vegetarian,False,False,False,True,False,False,True,False,False,True,False,True,False,159.9,22.07,,7.94,,13.8,high,not_reported,not_reported,6,59,IFCT 2017,True
P003,Anchovy,Anchovy (Stolephorus indicus),fish,animal_protein,non_vegetarian,False,False,False,True,False,False,False,True,False,True,False,True,False,87.7,19.88,,0.78,,22.67,high,not_reported,not_reported,2,63,IFCT 2017,True
P034,Mackerel,Mackerel (Rastrelliger kanagurta),fish,animal_protein,non_vegetarian,False,False,False,True,False,False,False,True,False,True,False,True,False,101.1,21.51,,1.53,,21.28,high,not_reported,not_reported,3,64,IFCT 2017,True
P055,"Pomfret, black","Pomfret, black (Parastromateus niger)",fish,animal_protein,non_vegetarian,False,False,False,True,False,False,False,True,False,True,False,True,False,123.1,18.91,,4.83,,15.36,high,not_reported,not_reported,1,65,IFCT 2017,True
P068,Salmon,Salmon (Salmo salar),fish,animal_protein,non_vegetarian,False,False,False,True,False,False,False,True,False,True,False,True,False,172.3,20.97,,9.86,,12.17,high,not_reported,not_reported,1,66,IFCT 2017,True
P071,Sardine,Sardine (Sardinella longiceps),fish,animal_protein,non_vegetarian,False,False,False,True,False,False,False,True,False,True,False,True,False,152.2,17.91,,8.99,,11.77,high,not_reported,not_reported,1,66,IFCT 2017,True
P083,Tilapia,Tilapia (Oreochromis niloticus),fish,animal_protein,non_vegetarian,False,False,False,True,False,False,False,True,False,True,False,True,False,83.4,18.48,,1.08,,22.16,high,not_reported,not_reported,1,66,IFCT 2017,True
P084,Tuna,Tuna (Euthynnus affinis),fish,animal_protein,non_vegetarian,False,False,False,True,False,False,False,True,False,True,False,True,False,112.3,24.5,,1.44,,21.82,high,not_reported,not_reported,5,66,IFCT 2017,True
P087,Vanjaram,Vanjaram (Scomberomorus commerson),fish,animal_protein,non_vegetarian,False,False,False,True,False,False,False,True,False,True,False,True,False,136.2,22.28,,5.18,,16.36,high,not_reported,not_reported,2,66,IFCT 2017,True
Q002,"Crab, sea","Crab, sea (Portunus sanguinolentus)",seafood,animal_protein,non_vegetarian,False,False,False,True,False,False,False,True,False,True,False,True,False,67.6,15.36,,0.6,,22.72,high,not_reported,not_reported,1,67,IFCT 2017,True
S002,Catla,Catla (Catla catla),fish_seafood,animal_protein,non_vegetarian,False,False,False,True,False,False,False,True,False,True,False,True,False,94.2,17.94,,2.15,,19.04,high,not_reported,not_reported,6,68,IFCT 2017,True
S006,Rohu,Rohu (Labeo rohita),fish_seafood,animal_protein,non_vegetarian,False,False,False,True,False,False,False,True,False,True,False,True,False,102.3,19.71,,2.39,,19.27,high,not_reported,not_reported,6,68,IFCT 2017,True
S008,"Prawns, big","Prawns, big (Macrobrachium rosenbergii)",fish_seafood,animal_protein,non_vegetarian,False,False,False,True,False,False,False,True,False,True,False,True,False,90.8,19.24,,0.52,,21.19,high,not_reported,not_reported,1,68,IFCT 2017,True
